cascades_fit,olympics_fit,cascades_se,olympics_se,date
0.09023946461488502,0.7883000059325861,0.07264714488185059,0.11084105264475612,2014-10-01
0.7966625203589994,1.202641595289375,0.07302679788128594,0.11381733132774328,2014-11-01
0.8503608181824156,1.1440904745152705,0.07305688310280543,0.11405694474275159,2014-12-01
1.023979718788847,0.9390080090492097,0.07305934427689166,0.11407653113011924,2015-01-01
0.9121320474105133,0.8285582877446098,0.07305954568412838,0.11407813383984831,2015-02-01
0.5747938759392887,0.38394436868426396,0.07305956216633312,0.11407826499714481,2015-03-01
0.10653936019278909,-0.2995220482637512,0.07305956351516012,0.11407827573044067,2015-04-01
-0.6011205103417582,-0.9589581648468076,0.07305956362554199,0.11407827660880404,2015-05-01
-1.02668508992419,-1.1539662624195763,0.07305956363457515,0.11407827668068463,2015-06-01
-1.3937715129501516,-1.2147781873111962,0.07305956363531384,0.1140782766865666,2015-07-01
-1.518724326644903,-1.0631031472397694,0.07305956363537557,0.11407827668704862,2015-08-01
-0.9861160595954497,-0.5495491653402547,0.07305956363537967,0.11407827668708867,2015-09-01
-0.2909189917276126,-0.02613269216760261,0.07305956363538223,0.11407827668710369,2015-10-01
1.3446455329880234,1.3620905007228092,0.07305956363539756,0.11407827668724042,2015-11-01
1.353949485768327,1.2985150717779232,0.07305956363561072,0.11407827668892356,2015-12-01
1.0808580943080879,1.0187622770261182,0.07305956363819391,0.11407827670948649,2016-01-01
1.122410126337106,0.9323123777937337,0.07305956366977061,0.11407827696075915,2016-02-01
0.7731748873561433,0.5641959618115828,0.07305956405562761,0.11407828003121895,2016-03-01
0.11523923658932766,-0.0941616513928108,0.07305956877067205,0.11407831755119374,2016-04-01
-0.4248242869445211,-0.5412710693477503,0.07305962638687011,0.11407877603150673,2016-05-01
-0.6003131696970189,-0.7450003652002837,0.07306033043357989,0.1140843783561526,2016-06-01
-0.9223137823216203,-1.0859810241945969,0.07306893316794472,0.11415281469039236,2016-07-01
-1.2244657008873712,-1.389735992208555,0.07317417794552424,0.1149859096671062,2016-08-01
-1.1557364757069382,-1.3402424924801677,0.07502240485246854,0.12502467989078678,2016-09-01
