date,time,HEELCode,river,station_name,mountain_range,water_temp,ppt_mm,snowmelt,spi_12,sampleday_quickflow,week_slowflow
8/17/2015,11,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,11.3,158.6367937,0,-0.414383032,0.009,55.729
9/28/2015,12,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,10.1,92.18282496,0,-0.398276322,0,84.737
10/26/2015,13,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,10.5,331.5733795,0,-0.708933372,15.535,105.015
11/16/2015,14,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,NA,535.5337607,0,-0.343432859,71.282,359.371
12/7/2015,15,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,8.2,866.8287345,0,0.448842998,19.563,444.04
1/11/2016,16,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,6.4,621.5627034,0,0.886631067,0,270.14
2/22/2016,17,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,7.2,417.3914211,5.118810157,0.915948648,0,692.68
3/28/2016,18,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,7.5,540.521525,1.457335094,1.422540534,0,577.45
4/25/2016,19,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,9.1,81.22233969,0.369911089,1.387862086,0,214.78
5/23/2016,20,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,10.9,47.23233966,0.002686886,1.426941389,0,135.2
6/27/2016,21,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,11.6,53.6210052,0,1.524057533,0,94.63
7/25/2016,22,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,11.8,32.54894282,0,1.529127291,0,68.98
8/29/2016,23,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,11.1,24.46013866,0,1.32501353,0,57.45
9/26/2016,24,L,Skokomish,Skokomish R nr Potlatch,Olympic Mountains,10.6,114.5526517,0,1.289849449,0.18,65.247
10/27/2014,1,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,10,217.39055,0,0.154107742,11.368,49.025
11/17/2014,2,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,4,199.5057501,0,0.346436201,0,81.12
12/15/2014,3,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,6.1,192.3184999,0.003100591,0.735066199,0,115.153
1/26/2015,4,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,8.8,185.81465,0.027917742,0.83190377,0,151.613
2/23/2015,5,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,7.1,153.243275,0,0.554528482,0,88.13
3/23/2015,6,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,8.8,165.0722749,0,0.020837568,0,128.361
4/27/2015,7,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,12.6,75.24985005,0,-0.272505692,0,77.6
5/18/2015,8,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,14.5,33.20320004,0,-0.649321152,0,54.57
6/22/2015,9,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,17.6,10.84274999,0,-0.805175041,0,26.8
7/27/2015,10,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,16.4,9.831899985,0,-0.841504843,0,22.16
8/17/2015,11,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,17.1,65.82754996,0,-0.714372536,0,19.827
9/28/2015,12,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,12,37.36779998,0,-0.896700542,0,19.11
10/26/2015,13,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,11.1,230.9222248,0,-1.064769457,0.486,20.367
11/16/2015,14,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,NA,308.5715251,0,-0.567923094,32.409,82.397
12/7/2015,15,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,8.5,423.026825,0,0.407872629,23.879,109.131
1/11/2016,16,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,5.8,243.3448501,0,0.587534402,0,106.9
2/22/2016,17,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,7.9,209.0973999,1.254921773,0.715361699,0,192.353
3/28/2016,18,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,9.1,229.534825,0,0.963127198,0,169.7
4/25/2016,19,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,11.9,59.884525,0,0.91826117,0,75.06
5/23/2016,20,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,13.7,32.90237501,0,0.931970505,0,49.64
6/27/2016,21,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,17.7,71.83967504,0,1.117623268,0,35.91
7/25/2016,22,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,17.7,31.62919998,0,1.167985047,0,27.68
8/29/2016,23,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,15.8,17.668125,0,0.96767513,0,23.62
9/26/2016,24,M,Deschutes,Deschutes R @ E St Bridge,Cascade Range,14.1,63.53894995,0,1.061358964,0,23.408
10/29/2014,1,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,8.1,412.8120289,0,-0.031759473,51.342,305.241
11/19/2014,2,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,4.4,334.6511198,0,0.240663319,0,306.95
12/1/2014,3,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,5.8,431.576627,0,1.041822586,0,555.564
1/28/2015,4,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,5.5,233.3472727,0,1.048834707,0,426.948
2/25/2015,5,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,5.3,285.133162,5.35147605,0.867616842,0,313.74
3/25/2015,6,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,6.1,236.7910539,0.728593226,0.306923231,1.259,302.717
4/29/2015,7,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,6.8,73.89712781,0.086675109,0.115719587,0,198.508
5/20/2015,8,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,9.6,36.62140973,0.204341083,-0.047938801,0,177
6/24/2015,9,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,12.1,9.424071155,0.032142887,-0.10725398,0,102.65
7/29/2015,10,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,12.6,15.27548092,0,-0.071990625,0,69.27
8/19/2015,11,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,13.4,104.0619765,0,0.001435337,0,57.44
9/30/2015,12,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,9.5,73.9604084,0,0.063193821,0,74.07
10/28/2015,13,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,9,213.0596047,0,-0.416413921,0,71.04
11/18/2015,14,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,5.9,436.5743083,0,0.170857378,39.029,476.423
12/9/2015,15,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,6.8,662.6810802,0,0.796056236,196.438,551.964
1/13/2016,16,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,4.6,413.359644,0,1.176156194,19.343,244.217
2/24/2016,17,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,5.2,323.7959946,13.03937943,1.195901806,0,631.752
3/30/2016,18,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,5.5,430.4895914,3.96738839,1.620054289,0,421.91
4/27/2016,19,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,6.3,52.32612645,1.20946979,1.566222944,0,456.298
5/25/2016,20,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,8,25.18097496,0.881532807,1.597728955,0,382.29
6/29/2016,21,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,11.3,69.39974967,0.212381996,1.783288512,0,280.34
7/27/2016,22,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,13,21.47549409,0.00144137,1.750308861,0,160.05
8/31/2016,23,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,13,21.25783928,0,1.624507235,0,94.26
9/28/2016,24,Z,Elwha,Elwha @ Port Angeles,Olympic Mountains,10.1,66.82681155,0,1.586764216,0,67.6
