term,estimate,std.error,conf.low,conf.up
R.diag,0.04946146321836758,0.005637651470303677,0.03841186937918309,0.06051105705755207
Q.diag,0.27302374263150136,0.07779219678727209,0.12055383865019562,0.4254936466128071
Q.offdiag,0.2610287522285897,0.07772737913302687,0.10868588851516692,0.41337161594201244
x0.X.A,-0.16175889943590338,0.543060672842142,-1.2261382596265904,0.9026204607547836
x0.X.B,0.11350051864066035,0.542848743004345,-0.9504634667006953,1.177464503982016
x0.X.C,0.21392234394484344,0.5430012713132868,-0.8503405913886608,1.2781852792783477
x0.X.E,0.2235677398694902,0.5433562558030108,-0.8413909522789436,1.288526432017924
x0.X.F,0.35321838043465537,0.5432308476816144,-0.7114945163124726,1.4179312771817834
x0.X.G,0.4642342050077941,0.5432055169893564,-0.6004290444948046,1.5288974545103928
x0.X.H,0.26259612854353076,0.5430765454293428,-0.8018143413464114,1.327006598433473
x0.X.I,0.633201500753052,0.546178816027138,-0.4372893077788662,1.7036923092849703
x0.X.J,-0.017014560094573916,0.5426730866768791,-1.0806342653604397,1.0466051451712919
x0.X.K,-0.23231085336350343,0.5426029123405601,-1.295793019457545,0.8311713127305382
x0.X.L,0.6050997584367552,0.5435671329835036,-0.46027224539060563,1.670471762264116
x0.X.M,0.07188092658571055,0.5427507044764389,-0.9918909067718518,1.1356527599432729
x0.X.Z,0.6007786374896202,0.5447977270139616,-0.4670052863170282,1.6685625612962687
C.cascades.spi_12,0.03462823614533339,0.02182745539035379,-0.008152790293914691,0.07740926258458147
C.olympics.spi_12,0.00507081075271975,0.02483055095259221,-0.043596174830647705,0.053737796336087204
