term,estimate,std.error,conf.low,conf.up
R.diag,0.058933323980693855,0.0054854715510147785,0.04818199730248582,0.06968465065890189
Q.diag,0.24985413517966718,0.0740904525301262,0.10463951662234533,0.395068753736989
Q.offdiag,0.24782517442624416,0.07408454188803489,0.1026221405145468,0.3930282083379415
x0.X.A,0.09422261953864819,0.5140957325127801,-0.9133865007921378,1.1018317398694342
x0.X.B,0.136678171771635,0.5134724029656658,-0.8697092450963073,1.1430655886395773
x0.X.C,0.2719631282517554,0.5137492672314036,-0.7349669326056392,1.27889318910915
x0.X.E,0.3569520694738699,0.5150140513809516,-0.6524569227648558,1.3663610617125956
x0.X.F,0.3243646113267502,0.5141654325666779,-0.6833811185993961,1.3321103412528965
x0.X.G,0.3554911938669534,0.5138446063634788,-0.6516257282556259,1.3626081159895327
x0.X.H,0.2597397501937877,0.5135243357657795,-0.7467494530919938,1.2662289534795692
x0.X.I,0.5024953152996687,0.5145733914744345,-0.5060499993928527,1.5110406299921901
x0.X.J,0.016586974452046377,0.5139220331797543,-0.9906817014418705,1.0238556503459633
x0.X.K,-0.06964201641500267,0.5135373697362111,-1.0761567658134057,0.9368727329834003
x0.X.L,0.5541343550507065,0.5153126137040639,-0.45585980858846,1.564128518689873
x0.X.M,-0.03816237427695057,0.5153655794411578,-1.0482603488532358,0.9719356002993347
x0.X.Z,0.5896240894026477,0.5145784660923785,-0.4189311713582793,1.5981793501635746
C.cascades.water_temp,-0.09931674156811668,0.03386590883071812,-0.16569270318004115,-0.03294077995619221
C.olympics.water_temp,0.01861978115598667,0.037292448548648466,-0.054472074894677314,0.09171163720665065
