term,estimate,std.error,conf.low,conf.up
R.diag,0.03605402185868516,0.00477050591657108,0.02670400207417061,0.045404041643199715
Q.diag,0.2126881832646149,0.05878181802763258,0.09747793698466778,0.327898429544562
Q.offdiag,0.1966408832878545,0.05866083978699313,0.08166775000247374,0.3116140165732353
x0.X.A,-0.4894936012882818,0.4829409730614834,-1.4360405151475175,0.45705331257095394
x0.X.B,-0.15947100377280243,0.4826801483348366,-1.1055067105615328,0.786564703015928
x0.X.C,-0.5117872411969575,0.49371736994726584,-1.4794555048354363,0.4558810224415214
x0.X.E,-0.274454357920618,0.4871410514062636,-1.2292332740678695,0.6803245582266335
x0.X.F,-0.10992902344686684,0.48746691220114957,-1.0653466150160684,0.8454885681223347
x0.X.G,0.039664568457435934,0.4873366274139421,-0.9154976696211056,0.9948268065359774
x0.X.H,-0.09243486556010794,0.48427448367688436,-1.0415954121985314,0.8567256810783155
x0.X.I,0.4675772963039666,0.4858365831099216,-0.4846449089634802,1.4197995015714135
x0.X.J,-0.337791693747862,0.48275752823347984,-1.2839790623510605,0.6083956748553365
x0.X.K,-0.5673817311518938,0.4825053175392537,-1.5130747758778933,0.37831131357410563
x0.X.L,0.49720071726670767,0.48361419268379,-0.45066568280593466,1.4450671173393501
x0.X.M,-0.19542936434892155,0.4820099191620316,-1.1401514460975661,0.749292717399723
x0.X.Z,0.33962165877395645,0.4864203588670188,-0.6137447259524484,1.2929880435003613
C.cascades.ppt_mm,0.3999247043562611,0.060806411182420396,0.2807463284095836,0.5191030803029386
C.olympics.ppt_mm,0.29769816587277687,0.06310845850249554,0.17400786008804509,0.42138847165750865
